Place Name,New Name (if applicable),File Number,Latitude,Longitude,Geonames Link,Wikidata Link,Image url
"Aboriginal Tent Embassy (Canberra, A.C.T.)",,FL451088 | FL468008 | FL654335 | FL467349 | FL456342 | FL4404229 | FL466542 | FL454033,-35.3011° S,149.13° E,http://www.geonames.org/maps/wikipedia_-35.3011_149.13.html,,
Adelaide (S. Aust.),,,-34.83313 S,138.62537 E,http://www.geonames.org/11523930/adelaide.html,,
Alexandria (N.S.W.),,FL4546518 | FL4562149 | FL4547832 | FL4563288,-33.91667 S,151.2 E,http://www.geonames.org/2178136/alexandria.html,,
"Aquatic Club (corner Riley & Cathedral Streets, Woolloomooloo, N.S.W.)",,FL4515610,,,,,
Art Gallery of New South Wales,,FL4510098 | FL4589913 | FL4566059 | FL4567741 | FL4518192 | FL4536142 | FL4527332 | FL4527283 | FL4470517 | FL4536277,-33.86879°S,151.21748°E,http://www.geonames.org/6949391/art-gallery-of-new-south-wales.html,,
"Australia Square (Sydney, N.S.W.)",,FL4542461 | FL4523517 | FL4571894 | FL4404355 | FL8798010,-33.86487°S,151.20762°E,http://www.geonames.org/6615611/australia-square.html,,
"Australian Iron and Steel (Port Kembla, N.S.W.)",,FL4438375 | FL4411791 | FL4413732 | FL4465144 | FL4525119 | FL4520983,-34.4818,150.9012,https://www.geonames.org/2152671/port-kembla.html,,
"Australian Lubricating Oil Refinery (Kurnell, N.S.W.)",,FL4571092 | FL4570541,-34.01779°S,151.2237°E,http://www.geonames.org/8614873/kurnell-oil-refinery.html,,
"Balmain Town Hall (Balmain, N.S.W.)",,FL4523783,-33.8589°S,151.1791°E,,,
"Bank of New South Wales (George Street, Sydney, N.S.W.)",,,33.8661°S,151.20728°E,http://www.geonames.org/6955368/george-street.html,,
Bankstown (N.S.W.),,FL4525649 | FL4525653 | FL4525655 | FL4525656 | FL4525657 | FL4525658 | FL4525662 | FL4525679,-33.92384,151.02075,https://www.geonames.org/7839688/bankstown.html,,
"Bankstown Square (Bankstown, N.S.W.)",Bankstown Central,FL4527087 | FL4527089 | FL4527090 | FL4527130 | FL4527133 | FL4527136 | FL4527735 | FL4527742 ,33.9162,151.0384,,,
"Belmore Park (Sydney, N.S.W.)",,FL4544481 | FL4544482 | FL4544483,-34.7485,149.7179,https://www.geonames.org/8150243/belmore-park.html,,
Berowra Waters (N.S.W.),,,-33.60093,151.12638,https://www.geonames.org/9972606/berowra-waters.html,,
Boggabilla (N.S.W.),,,-28.60477,150.35934,https://www.geonames.org/2175077/boggabilla.html,,
Bondi Beach (N.S.W.),,FL4589044 | FL4589045 | FL4589046 | FL4589060 | FL4544105 | FL4544106 | FL4544109 | FL4544112,-33.89169,151.27762,https://www.geonames.org/2174949/bondi-beach.html,,
Botany Bay (N.S.W.),,FL4530860 | FL4530861 | FL4530866 | FL4530868 |,-33.9466,151.19874,https://www.geonames.org/7839700/botany-bay.html,,
Bougainville (Papua New Guinea),,,-6,155,https://www.geonames.org/2089470/bougainville.html,,
"Bourke Street (Waterloo, N.S.W.)",,,,,,,
Bowraville (N.S.W.),,,-30.64997,152.85146,https://www.geonames.org/2174396/bowraville.html,,
"Bronte Park (Bronte, N.S.W.)",,FL4516401 | FL4516402 | FL4516404 | FL4516405 | FL4516407 | FL4516408 | FL4516409 | FL4516411 | FL4516412 | FL4516413 | FL4516415 | FL4516417 | FL4516418 | FL4516420 | FL4516422 | FL4516424 | FL4516425 | FL4516427 | FL4522519 | FL4522526 | FL4522528 | FL4522531 | FL4522534 | FL4522537 | FL4522539 | FL4522541 | FL4522543 | FL4522545 | FL4522546 | FL4522548 | FL4522552 | FL4522555 | FL4522558 | FL4522560 | FL4522563,-33.90305,151.26659,http://www.geonames.org/8150432/bronte-park.html,https://www.wikidata.org/wiki/Q21925312,
Bulli (N.S.W.),,FL4517216 | FL4517219 | FL4517220 | FL4517221 | FL4517222 | FL4517224 | FL4517225 | FL4517226 | FL4517228 | FL4517230 | FL4517232 | FL4517233 | FL4517237 | FL4517240 | FL4517242 | FL4517243 | FL4517245 | FL4517246 | FL4517247 | FL4517248 | FL4517251 | FL4517253 | FL4519602 | FL4519610 | FL4519613 | FL4519615 | FL4519617 | FL4519618 | FL4519619 | FL4519620 | FL4519621 | FL4519622 | FL4519623 | FL4519624 | FL4519625 | FL4519626 | FL4519627 | FL4519628 | FL4519629 | FL4519630 | FL4519631 | FL4519632 | FL4519633 | FL4519634 | FL4519635 | FL4519636 | FL4519637 | FL4519638 | FL4519639 | FL4519640 | FL4519641 | FL4519642 | FL4519643 | FL4519644 | FL4519645 | FL4519646 | FL4519647 | FL4519648,-34.33834,150.91347,http://www.geonames.org/2173445/bulli.html,https://www.wikidata.org/wiki/Q4996904,
Burwood Council Chambers,,FL4582197 | FL4582199 | FL4582201 | FL4582203 | FL4582204 | FL4584334 | FL4584335 | FL4584336 | FL4584337 | FL4584338 | FL4584339 | FL4584340,-33.8854,151.1048,http://www.geonames.org/maps/wikipedia_-33.8854_151.1048.html,,
"Campbell Street (Sydney, N.S.W.)",,FL4499438 | FL4499440 | FL4499443 | FL4499444 | FL4499446 | FL4499447 | FL4499448 | FL4499449 | FL4499450 | FL4499451 | FL4499452 | FL4499453 | FL4499454 | FL4499455 | FL4499457 | FL4499458 | FL4499459 | FL4499460 | FL4513342 | FL4513343 | FL4513344 | FL4513345 | FL4513346 | FL4513347 | FL4513348 | FL4513349 | FL4513353 | FL4513354 | FL4513356 | FL4513359 | FL4513360 | FL4513362 | FL4513364 | FL4513365 | FL4513367 | FL4513369 | FL4513370 | FL4513372 | FL4513373 | FL4513375 | FL4513377 | FL4513379 | FL4513380 | FL4513382 | FL4513384 | FL4513384 | FL4513387 | FL4513390,-33.87923,151.20597,http://www.geonames.org/8645217/campbell-street.html,,
Canberra (A.C.T.),,FL451088 | FL451090 | FL451091 | FL451093 | FL451095 | FL451096 | FL451098 | FL451099 | FL451100 | FL451102 | FL451103 | FL451105 | FL451107 | FL451109 | FL451111 | FL451113 | FL451115 | FL451118 | FL451119 | FL451121 | FL451123 | FL451125 | FL451127 | FL451129 | FL451131 | FL451132 | FL451133 | FL451135 | FL451137 | FL451139 | FL451142 | FL451143 | FL451145 | FL451147 | FL451149 | FL451151 | FL451153 | FL451154 | FL451156 | FL451158 | FL451159 | FL451161 | FL4373556 | FL4373559 | FL4373562 | FL4373564 | FL4373567 | FL4373568 | FL4373570 | FL4373572 | FL4373575 | FL4373577 | FL4373578 | FL4373579 | FL4373581 | FL4373582 | FL4373583 | FL4373587 | FL4373588 | FL4373589 | FL4373590 | FL4373592 | FL4373594 | FL4373596 | FL4373597 | FL4373599 | FL4373600 | FL4373602 | FL4373603 | FL4373605 | FL4373606 | FL4373607 | FL4373609 | FL4373612 | FL4373614 | FL4373017 | FL4373019 | FL4373023 | FL4373025 | FL4373028 | FL4373031 | FL4373034 | FL4373035 | FL4373037 | FL4373039 | FL4373040 | FL4373043 | FL4373046 | FL4373047 | FL4373050 | FL4373051 | FL4373052 | FL4373055 | FL4373056 | FL4373058 | FL4373060 | FL4373061 | FL4373063 | FL4373064 | FL4373066 | FL4373068 | FL4373070 | FL4373073 | FL4373074 | FL4373076 | FL4373078 | FL4373080 | FL4373081 | FL4373083 | FL4373085 | FL4373086 | FL4373087 | FL4373088 | FL4372303 | FL4372306 | FL4372307 | FL4372310 | FL4372311 | FL4372312 | FL4372313 | FL4372315 | FL4372317 | FL4372320 | FL4372322 | FL4372324 | FL4372329 | FL4372331 | FL4372333 | FL4372335 | FL4372337 | FL4372339 | FL4372341 | FL4372343 | FL4372344 | FL4372347 | FL4372349 | FL4372351 | FL4372353 | FL4372355 | FL4372356 | FL4372358 | FL4372360 | FL4370395 | FL4370398 | FL4370400 | FL4370401 | FL4370403 | FL4370405 | FL4370406 | FL4370408 | FL4370409 | FL4370410 | FL4370411 | FL4370412 | FL4370413 | FL4370414 | FL4370415 | FL4370416 | FL4370417 | FL4370418 | FL4370419 | FL4370420 | FL4370421 | FL4404229 | FL4404230 | FL4404232 | FL4404234 | FL4404236 | FL4404239 | FL4404240 | FL4404242 | FL4404244 | FL4404246 | FL4404248 | FL4404249 | FL4404253 | FL4404254 | FL4404257 | FL4404259 | FL4404260 | FL4404261 | FL4404263 | FL4404264 | FL4404265 | FL4404265 | FL4404267 | FL4404268 | FL4404270 | FL4404271 | FL4404273 | FL4404274 | FL4404275,-35.28346,149.12807,http://www.geonames.org/2172517/canberra.html,https://www.wikidata.org/wiki/Q3114,https://s3-ap-southeast-2.amazonaws.com/wraggetribune/images/500/FL451088-500.jpg
"Cathedral Street (Woolloomooloo, N.S.W.)",,FL4515620,-33.872417,151.217075,,,
"Cenotaph (Martin Place, Sydney, N.S.W.)",,FL8825502 | FL8825503,-33.86745,151.20796,http://www.geonames.org/8645153/cenotaph.html,,
"Centennial Park (Sydney, N.S.W.)",,FL4546808 | FL4546811 | FL4546812 | FL4546814,-33.89794,151.23364,http://www.geonames.org/8349193/centennial-park.html,https://www.wikidata.org/wiki/Q1138446,
"Central Police Court (Liverpool Street, Sydney, N.S.W.)",,FL453309 | FL453311 | FL453313 | FL453315 | FL453318 | FL453320 | FL453325 | FL453328 | FL453330 | FL453331 | FL453333 | FL453335 | FL453352 | FL453356 | FL453358 | FL453359 | FL453361 | FL4520488 | FL4520489 | FL4520490 | FL4520491 | FL4520492 | ,S 33° 52′ 34.08″  ,E 151° 12′ 25.49″ ,,,
"Central Railway Station (Sydney, N.S.W.)",,FL4524268 | FL4524270 | FL4524272 | FL4524273 | FL4524275 | FL4524276 | FL4524277 | FL4524279 | FL4524282 | FL4524283 | FL4524285 | FL4524287 | FL4524288 | FL4524291 | FL4524292 | FL4524294 | FL4524295 | FL4524297 | FL4524299 | FL4524301 | FL4524303 | FL4524305 | FL4524307 | FL4524308 | FL4524310 | FL4524311 | FL4524312,-33.8833,151.205,http://www.geonames.org/6949373/hauptbahnhof-sydney.html,https://www.wikidata.org/wiki/Q1585639,
china,,FL1326981 | FL1381600 | ,-28.57312,153.18099,http://www.geonames.org/11842335/dhl-cin.html,https://www.wikidata.org/wiki/Q148,
Chullora Railway Workshops (N.S.W.),,FL1901692 | FL1898129 | FL1890912 | FL1895070 | FL1891024 | ,,,,https://www.wikidata.org/wiki/Q16927074,
"Circular Quay (Sydney, N.S.W.)",,FL1867343 | FL1860205 | FL1847509 | FL1880326 | FL1880363 | FL2122684 | FL1828527,-33.86117,151.21091,http://www.geonames.org/6619278/circular-quay.html,https://www.wikidata.org/wiki/Q1092910,
Circular Quay No. 4,,FL1796927 | ,-33.86134,151.21212,http://www.geonames.org/8648721/circular-quay-metro-link.html,https://www.wikidata.org/wiki/Q1092910,
Clarence River (N.S.W.),,FL2439880 | FL2434445 | FL2446009 | FL2437770 | FL2448410  ,-29.39377,153.33369,http://www.geonames.org/2171468/clarence-river.html,https://www.wikidata.org/wiki/Q674281,
"Clyde Engineering (Granville, N.S.W.)",,FL1064994 | FL379899 | FL4540630 ,-33.83333,151.01667,http://www.geonames.org/2164691/granville.html,https://www.wikidata.org/wiki/Q5136910,
Cockatoo Island (N.S.W.),,FL3301123 | FL1759161 | FL1230861 | ,-33.8474,151.1721,http://www.geonames.org/2171142/cockatoo-island.html,https://www.wikidata.org/wiki/Q1105244,
"Commonwealth Bank (Pitt Street and Martin Place, Sydney, N.S.W.)",,FL1650303 | FL1416362 | FL1640774 | FL1651241  ,-33.90228,151.20491,http://www.geonames.org/8668783/pitt-street.html,https://www.wikidata.org/wiki/Q285328,
"Commonwealth Office (Martin Place, Sydney, N.S.W.)",,FL1417097,-33.8652,151.2012,http://www.geonames.org/8310054/martin-place.html,,
Coogee Beach (N.S.W.),, FL1923490 | FL1638319 | FL1642227 | FL1651093 | FL1651093 ,-33.92065,151.25829,http://www.geonames.org/8310446/coogee-beach.html,https://www.wikidata.org/wiki/Q21957520,
"Crown Street (Wollongong, N.S.W.)",,FL4424788 | FL4424792 | FL4424796 | FL4424799 | FL4424802 | FL4424807 | FL4424809 | FL4424810 | FL4424813 | FL4424816 | FL4424817 | FL4424819 | FL4424820 | FL4424821 | FL4424824 | FL4424826 | FL4424830 | FL4424832 | FL4424834 | FL4424836 | FL4424837 | FL4424840 | FL4424842 | FL4424845 | FL4424849 | FL4424850 | FL4424852 | FL4424855 | FL4424857 | FL4424860 | FL4424863 | FL4424865 | FL4424868 | FL4424871 | FL4424873 | FL4424876 | FL4424878 | FL4424881 | FL4427278 | FL4427279 | FL4427280 | FL4427281 | FL4427282 | FL4427283 | FL4427284 | FL4427285 | FL4427286 | FL4427287 | FL4427288 | FL4427289 | FL4427290 | FL4427291 | FL4427292 | FL4427293 | FL4427294 | FL4427295 | FL4427296 | FL4427297 | FL4427298 | FL4427299 | FL4427300 | FL4427301 | FL4427302 | FL4427303 | FL4427304 | FL4427305 | FL4427306 | FL4427307 | FL4427308 | FL4427309 | FL4427310 | FL4427311 | FL4427312 | FL4438375 | FL4438376 | FL4438377 | FL4438378 | FL4438379 | FL4438380 | FL4438381 | FL4438382 | FL4438383 | FL4438384 | FL4438385 | FL4438386 | FL4438390 | FL4438391 | FL4438394 | FL4438395 | FL4438396 | FL4438398 | FL4438399 | FL4438400 | FL4438401 | FL4438406 | FL4438407 | FL4438408 | FL4438409 | FL4438409 | FL4438417 | FL4438422 | FL4438426 | FL4438428 | FL4438429 | FL4438430 | FL4438431 | FL4438432 | FL4438433 | FL4438435 | FL4438438 | FL4438439 | FL4438442 | FL4438443 | FL4438445 | FL4438448 | FL4438450 | FL4438452 | FL4438454 | FL4438455 | FL4438456 | FL4438457 | FL4438459 | FL4438461 | FL4438462 | FL4438462 | FL4438465 | FL4438466 | FL4438468 | FL4438470,33.8913,151.21299,http://www.geonames.org/8645328/crown-street.html,https://www.wikidata.org/wiki/Q5189466,
Cuba,,FL4585395 | FL4585396 | FL4585397 | FL4585398 | FL4585399 | FL4585400 | FL4585401 | FL4585402,22,-79.5,http://www.geonames.org/3562981/republic-of-cuba.html,https://www.wikidata.org/wiki/Q241,
Darling Harbour (N.S.W.),,FL4527477 | FL4527478 | FL4527479 | FL4527480 | FL4527482 | FL4527484 | FL4527485 | FL4527486 | FL4527488 | FL4527489 | FL4527490 | FL4527492 ,-33.8723,151.199,http://www.geonames.org/6949405/darling-harbour.html,https://www.wikidata.org/wiki/Q5355310,
"Darlinghurst Court House (Darlinghurst, N.S.W.)",,,-33.8758,151.2183,http://www.geonames.org/maps/wikipedia_-33.8758_151.2183.html,https://www.wikidata.org/wiki/Q46239372,
David Jones (Sydney) Ltd.,,,-33.87042,151.20995,http://www.geonames.org/6615598/david-jones.html,https://www.wikidata.org/wiki/Q5235741,
Dee Why (N.S.W.),,,-33.75,151.3,http://www.geonames.org/2208305/dee-why.html,https://www.wikidata.org/wiki/Q5249966,
"Dept. Trade & Industry (ANZ Building, corner Pitt & Hunter Streets, Sydney, N.S.W.)",,,,,,,
"Domain, The (Sydney, N.S.W.)",,FL4557751 | FL4557752 | FL4557753 | FL4557754 | FL4557755 | FL4557756 | FL4557760 | FL4557761 | FL4557762 | FL4557764 | FL4557765 | FL4557767 | FL4557770,-33.86856,151.21479,http://www.geonames.org/2168634/the-domain.html,https://www.wikidata.org/wiki/Q844407,
"Elizabeth Street (Sydney, N.S.W.)",,FL466140 | FL466141 | FL466143 | FL466145 | FL466147 | FL466150 | FL466152 | FL466153 | FL466155 | FL466156 | FL466157 | FL466159 | FL466161,-33.88793,151.2301,http://www.geonames.org/8668153/elizabeth-street.html,https://www.wikidata.org/wiki/Q5363574,
"Eveleigh Railway Workshops (Redfern, N.S.W.)",Eveleigh Locomotive Workshops,FL4524287 | FL4524288 | FL4524291 | FL4524292 | FL4524294,-33.895,151.191,http://www.geonames.org/maps/wikipedia_-33.895_151.191.html,https://www.wikidata.org/wiki/Q16927147,
Fairfield (N.S.W.),,FL4540998 | FL4541003 | FL4541007 | FL4541009 | FL4541010 | FL4541011 | FL4541012 | FL4541013 | FL4541015 | FL4541017 | FL4541018 | FL4541021 | FL4541023 | FL4541029 | FL4541031 | FL4541032 | FL4541033 | FL4541034 | FL4547581 | FL4547584 | FL4547586 | FL4547588 | FL4547591 | FL4547593 | FL4547595 | FL4547597 | FL4547599 | FL4547602 | FL4547604 | FL4547606 | FL4547608 | FL4547609 | FL4547610 | FL4547611 | FL4547612 | FL4547613 | FL4547614 | FL4547615 | FL4547616 | FL4547617 | FL4547618 | FL4547619 | FL4547620 | FL4547621 | FL4547622 | ,33°52′03″,150°54′04″,http://www.geonames.org/7839360/fairfield.html,https://www.wikidata.org/wiki/Q5430219,
"Fort Denison (Sydney, N.S.W.)",,,-33.85518,151.22576,http://www.geonames.org/8663296/fort-denison.html,https://www.wikidata.org/wiki/Q5471050,
Garden Island (N.S.W.),,,-33.85943,151.22861,http://www.geonames.org/8663297/garden-island.html,https://www.wikidata.org/wiki/Q38156401,
"General Post Office (Sydney, N.S.W.)",,,-33.8677,151.2077,not available at time,https://www.wikidata.org/wiki/Q5532119,
"George Street (Sydney, N.S.W.)",,,-33.8661,151.20728,http://www.geonames.org/6955368/george-street.html,https://www.wikidata.org/wiki/Q5532119,
Gladstone (Qld.),,,-23.84852,151.25775,http://www.geonames.org/2165478/gladstone.html,https://www.wikidata.org/wiki/Q705699,
"Gowings Building (corner George & Market Streets, Sydney, N.S.W.)",Gowings Bar & Grill,,-33.8708092,151.206866,,https://www.wikidata.org/wiki/Q5590085,
Granville (N.S.W.),,,-33.83333,151.01667,http://www.geonames.org/2164691/granville.html,https://www.wikidata.org/wiki/Q5596852,
"Great Synagogue (Sydney, N.S.W.)",,,-33.8725871,151.2073262,,https://www.wikidata.org/wiki/Q5600072,
Gunnamatta Bay (N.S.W.),,,-34.06532,151.14377,http://www.geonames.org/2205864/gunnamatta-bay.html,https://www.wikidata.org/wiki/Q5618920,
Gunnedah (N.S.W.),,FL4525266,-30.98065,150.25838,https://www.geonames.org/2164206/gunnedah.html,https://www.wikidata.org/wiki/Q1554825,
"Harwood Ferry (Grafton District, N.S.W.)",,FL4518594,-29.68104,152.93394,https://www.geonames.org/2164771/grafton.html,https://www.wikidata.org/wiki/Q5355468,
Harwood Island (N.S.W.),,FL4518594,-29.41642,153.24178,https://www.geonames.org/2163843/harwood-island.html,,
"Hordern Pavilion (Sydney Showground, N.S.W.)",,FL4480024,-33.8446,151.0679,https://www.geonames.org/8162263/sydney-showground.html,,
Hotel Canberra (A.C.T.),,FL4521522,35.2993° S,149.1243° E,,,
"Hunter Street (Sydney, N.S.W.)",,FL4533066 | FL4581119,-33.86595,151.20785,https://www.geonames.org/8645150/hunter-street.html,,
"Hyde Park (Sydney, N.S.W.)",,,-33.5318,150.1846,https://www.geonames.org/8154840/hyde-park.html,,
Illawarra (N.S.W.),,FL4587844,-34.54878,150.86599,https://www.geonames.org/7302621/illawarra.html,,
Indonesia,Republic of Indonesia,FL4584497,-5,120,https://www.geonames.org/1643084/republic-of-indonesia.html,,
"Industrial Court (Temple Court, 75 Elizabeth Street, Sydney, N.S.W.)",,FL4541941,-33.88793,151.2301,https://www.geonames.org/8668153/elizabeth-street.html,,
Inverell (N.S.W.),,,-29.31526,151.04187,http://www.geonames.org/7839734/inverell.html,,
Ireland,,FL4583962 | FL4583966,53,-8,http://www.geonames.org/2963597/ireland.html,,
Japan,,FL4459617 | FL4459620 | FL4459624 | FL4459628 ,35.68536,139.75309,http://www.geonames.org/1861060/japan.html,,
"John Northcott Place (Belvoir Street, Surry Hills, N.S.W.)",John Northcott Building,,33.8885,151.2106,,,
"King Street (Sydney, N.S.W.)",,,-33.86915,151.20405,http://www.geonames.org/8645159/king-street.html,,
"King's Head Hotel (199 Elizabeth Street, Sydney, N.S.W.)",Ramblin Rascal Tavern,,33.8731,151.2097,,,
Kings Cross (N.S.W),,,-33.87498,151.22226,http://www.geonames.org/2161329/kings-cross.html,,
Kings Langley (N.S.W.),,,-33.75005,150.93542,http://www.geonames.org/8348984/kings-langley.html,,
"Kingsford-Smith Airport (Sydney, N.S.W.)",Sydney International Airport,FL4523679 | FL4523695 | FL4523707,-33.94611,151.17722,http://www.geonames.org/2208268/sydney-international-airport.html,,
Kurnell Oil Refinery,Kurnell Refinery,,-34.01779,151.2237,http://www.geonames.org/8614873/kurnell-oil-refinery.html,,
La Perouse (N.S.W.),,FL4521745 | FL4521745 | FL4521785 | FL4521787,-33.98721,151.2317,http://www.geonames.org/2160567/la-perouse.html,https://www.wikidata.org/wiki/Q2918153,
"Liberal House (30 Ash Street, Sydney, N.S.W.)",,FL4539843 | FL4539846 | FL4539848 | FL4539850 | FL4539853 | FL4539861 | FL4539863 | FL4539865 | FL4539868 | FL4539871 | FL4539875 | FL4539876 | FL4539879 | FL4539880 | FL4539882 | FL4539886 | FL4539888 | FL4539889 | FL4539890 | FL4539894 | FL4539896,,,,,
Lismore (N.S.W.),,FL467695 | FL467697 | FL467699 | FL467700 | FL467701 | FL467703 | FL467705 | FL467706 | FL467708,-28.81354,153.2773,http://www.geonames.org/2160063/lismore.html,https://www.wikidata.org/wiki/Q35001,
"Liverpool Arms (King Street, Sydney, N.S.W.)",Site was demolished,FL4555844,-33.868896,151.20816,,,
"Liverpool Street (Sydney, N.S.W.)",,FL4499149 | FL4499150 | FL4499151,-33.87618,151.20394,http://www.geonames.org/8645169/liverpool-street.html,https://www.wikidata.org/wiki/Q6658578,
Long Bay Gaol (N.S.W.),Long Bay Correctional Centre,FL4493008 | FL4493010 | FL4493011 | FL4493013 | FL4493015 | FL4493022 | FL4565800 | FL4565801 | FL4565802 | FL4565803 | FL4565804 | FL4565805 | FL4565806 | FL4565807 | FL4565808 | FL4565809 | FL4565810 | FL4565811 | FL4565812 | FL4565813 | FL4565814 | FL4565815 | FL4567329 | FL4567331 | FL4567332 | FL4567333 | FL4568361 | FL4568362 | FL4568363 | FL4568365 | FL4568366 | FL4568367 | FL4568369 | FL4568371 | FL4493893 | FL4493895 | FL4493896 | FL4493898 | FL4493900 | FL4493901 | FL4493903 | FL4493906 | FL4493913 | FL4551902 | FL4551904 | FL4551905 | FL4551906 | FL4551908,,,,https://www.wikidata.org/wiki/Q14934884,
