Place Name,New Name (if applicable),File Number,Latitude,Longitude,Geonames Link,Wikidata Link,Image url
"Macquarie Street (Sydney, N.S.W.)",,FL4517830 | FL4517831 | FL4517833 | FL4517834 | FL4517836 | FL4517839 | FL4517843 | FL4517845 | FL4517846 | FL4517847 | FL4517849 | FL4517851 | FL4517853 ,-33.86986,151.21193,http://www.geonames.org/8645353/macquarie-street.html,https://www.wikidata.org/wiki/Q6725008,
Manly (N.S.W.),,FL4443786 | FL4443787 | FL4443791 | FL4443792 | FL4443793 | FL4443794 | FL4443796 | FL4443799 | FL4443801 | FL4443803 | FL4443805 | FL4443806 | FL4443807 | FL4443810 | FL4443812 | FL4443814 | FL4443815 | FL4443818 | FL4443820 | FL4443822 | FL4443824 | FL4443826 | FL4443827 | FL4443828 | FL4443829 | FL4443831 | FL4443833 | FL4443834 | FL4443836 | FL4443838 | FL4443841 | FL4443842 | FL4443844 | FL4443844 | FL4443845 | FL4443846 | FL4443848 | FL4443850 | FL4466255 | FL4466256 | FL4466257 | FL4466258 | FL4466259 | FL4466260 | FL4466261 | FL4466262 | FL4466263 | FL4466264 | FL4466265 | FL4466266 | FL4466267 | FL4466268 | FL4466269 | FL4466270 | FL4466271 | FL4466272 | FL4466273 | FL4466274 | FL4466275 | FL4466279 | FL4466280 | FL4466282 | FL4466284 | FL4466285 | FL4466287 | FL4466289 | FL4466290 | FL4466291 | FL4466293 | FL4466294 | FL4466297 | FL4466300 | FL4466302 | FL4466305 | FL4466306 | FL4466308 | FL4466310 | FL4466312 | FL4471302 | FL4471304 | FL4471305 | FL4471309 | FL4471310 | FL4471313 | FL4471316 | FL4471318 | FL4471320 | FL4471323 | FL4471325 | FL4471326 | FL4471329 | FL4471332 | FL4471334 | FL4471338 | FL4471339 | FL4471340 | FL4471341 | FL4471343 | FL4471345 | FL4471349 | FL4471352 | FL4471354 | FL4471356 | FL4471360 | FL4471361 | FL4471367 | FL4471369 | FL4471373 | FL4471374 | FL4471375 | FL4471376,-33.79798,151.28826,http://www.geonames.org/2158867/manly.html,https://www.wikidata.org/wiki/Q509716,
"Martin Place (Sydney, N.S.W.)",,FL4520807 | FL4520808 | FL4520809 | FL4520810 | FL4520811 | FL4520812 | FL4520813 | FL4520814 | FL4520815 | FL4520816 | FL4520817 | FL4520818 | FL4520819 | FL4520820 | FL4520821 | FL4520822 | FL4520823 | FL4520824 | FL4520825 | FL4520826 | FL4520827 | FL4520828 | FL4520829 | FL4520830 | FL4520831 | FL4520832 | FL4520833 | FL4520834 | FL4520835 | FL4520836 | FL4565397 | FL4565399 | FL4565400 | FL4565401 | FL4565404 | FL4565407 | FL4565407 | FL4565410 | FL4565412 | FL4565417 | FL4565420 | ,-33.86748,151.20751,http://www.geonames.org/8645356/martin-place.html,https://www.wikidata.org/wiki/Q761633,
McMahons Point (N.S.W.),,FL4538830 | FL4538831 | FL4538832 | FL4538833 | FL4538834,-33.84492,151.20307,http://www.geonames.org/8348676/mcmahons-point.html,https://www.wikidata.org/wiki/Q6802293,
Melbourne (Vic.),,,,,,https://www.wikidata.org/wiki/Q3141,
"Moore Park (Sydney, N.S.W.)",,FL1226287 | FL1918128 | FL2419783 | FL1929757 | FL1382408,-33.89793,151.22084,http://www.geonames.org/2157006/moore-park.html,https://www.wikidata.org/wiki/Q2900505,
Moree (N.S.W.),,FL1779447 | FL1781757 | FL1920807 | FL1927777 | FL1995823 ,S 29° 27' 46'' ,E 149° 50' 29'',http://www.geonames.org/2156927/moree.html,https://www.wikidata.org/wiki/Q187859,
Moree Aboriginal Station (N.S.W.),,FL2167433,S 29° 27' 46'',E 149° 50' 29'',http://www.geonames.org/2156927/moree.html,,
Nambucca Heads (N.S.W.),,FL2008939 | FL1997174 | FL1992407 | FL2006505 | FL1861906 ,-30.64318,153.00884,http://www.geonames.org/2155858/nambucca-heads.html,https://www.wikidata.org/wiki/Q3335445,
National Library of Australia (A.C.T.),,,,,,https://www.wikidata.org/wiki/Q623578,
New Caledonia,,FL4478800 | ,-30.97795,148.86699,http://www.geonames.org/8781464/caledonia.html,https://www.wikidata.org/wiki/Q56057924,
New Guinea,,FL1823508 | ,-30.5485,148.7346,http://www.geonames.org/8155233/ginee-belah-flora-reserve.html,https://www.wikidata.org/wiki/Q40285,
"New Theatre (Sydney, N.S.W.)",,FL4547574 | FL2163074 | FL2163984 | FL2162619 | FL2149584 | FL2165485 | FL2163868 | ,-33.9031,151.18,http://www.geonames.org/6949410/new-theatre.html,,
Newcastle (N.S.W.),,FL1845542 | FL1671372 | FL1002497 | FL1691355 | FL1689222 | FL2217202 | FL1712348 | ,-32.92715,151.77647,http://www.geonames.org/2155472/newcastle.html,https://www.wikidata.org/wiki/Q57278,
North Sydney (N.S.W.),,FL4538641 | FL4538644 | FL4538647 | FL4538649 | FL4538650 | FL4538651 | FL4538653 | FL4538654 | FL4538655 | FL4538658 | FL4538660 | FL4538662 | FL4538664 | FL4538667 | FL4538669 | FL4538672 | FL4538675 | FL4538678 | FL4538681 | FL4538682 | FL4531032 | FL4531037 | FL4531039 | FL4531040 | FL4531041 | FL4531042 | FL4531043 | FL4531044 | FL4531046 | FL4531047 | FL4531048 | FL4531049 | FL4531050,-33.83965,151.20541,http://www.geonames.org/2154855/north-sydney.html,https://www.wikidata.org/wiki/Q2973863,
"Northern Suburbs Memorial Gardens and Crematorium (North Ryde, N.S.W.)",,,-33.795,151.1529,http://www.geonames.org/maps/wikipedia_-33.795_151.1529.html,https://www.wikidata.org/wiki/Q17018083,
"Old Treasury Building (Sydney, N.S.W.)",,,-33.86305556,151.2125,,,
"Oxford Street (Sydney, N.S.W.)",,FL4539585 | FL4539590 | FL4539592 | FL4539594 | FL4539597 | FL4539601 | FL4539604 | FL4539606 | FL4539608 | FL4539619 | FL4539634 | FL4539647 | FL4539657 | FL4486285 | FL4486286 | FL4486292,-33.879,151.215,http://www.geonames.org/6949412/oxford-street.html,https://www.wikidata.org/wiki/Q7115463,
Paddington (N.S.W.),,,-33.88419,151.23151,http://www.geonames.org/2207753/paddington.html,https://www.wikidata.org/wiki/Q1027823,
"Paddington Town Hall (Paddington, N.S.W.)",,FL4515945 | FL4515947 | FL4515949 | FL4515950 | FL4515952 | FL4515953 | FL4515961 | FL4515964 | FL4515965 | FL4515967 | FL4515968 | FL4515972 | FL4515974 | FL4515976 | FL4515979,-33.885125,151.2258333,,https://www.wikidata.org/wiki/Q16962421,
Papua New Guinea,,,-6,147,http://www.geonames.org/2088628/independent-state-of-papua-new-guinea.html,https://www.wikidata.org/wiki/Q691,
"Park Street (Sydney, N.S.W.)",,FL4558347 | FL4558353 | FL4558355 | FL4558359 | FL4558360 | FL4558363 | FL4558365 | FL4558367 | FL4558368 | FL4558369,-33.87356,151.21035,http://www.geonames.org/8645208/park-street.html,https://www.wikidata.org/wiki/Q7138053,
"Parliament House (Canberra, A.C.T.)",,FL4513557 | FL4513559 | FL4520305 | FL4520306 | FL4520307 | FL4520308 | FL4520309 | FL4520311 | FL4520312 | FL4520314 | FL4520317 | FL4520323 | FL4520324 | FL4520325 | FL4520329 | FL4520331 | FL4520333 | FL4520335 | FL4520336 | FL4520339,-33.8673,151.213,http://www.geonames.org/6949413/parlament.html,https://www.wikidata.org/wiki/Q1858105,
"Parliament House (Sydney, N.S.W.)",,,-33.86709,151.21342,http://www.geonames.org/8650371/parliament-house.html,https://www.wikidata.org/wiki/Q1402071,
"Parramatta Road (Petersham, N.S.W.)",,,-33.8681,151.0991,http://www.geonames.org/maps/wikipedia_-33.8681_151.0991.html,https://www.wikidata.org/wiki/Q14934970,
Petersham Inn (N.S.W.),,,-33.888189,151.1588304,,,
Philippines,,,13, 122,http://www.geonames.org/1694008/republic-of-the-philippines.html,https://www.wikidata.org/wiki/Q928,
Pine Gap (N.T.),,, -23.807, 133.7418,http://www.geonames.org/2063328/pine-gap.html,https://www.wikidata.org/wiki/Q1754535,
"Pitt Street (Sydney, N.S.W.)",,, -33.90228,  151.20491,http://www.geonames.org/8668783/pitt-street.html,https://www.wikidata.org/wiki/Q1754535,
Poland,,, 52, 20,http://www.geonames.org/798544/republic-of-poland.html,https://www.wikidata.org/wiki/Q36,
Port Kembla (N.S.W.),,,-34.4818,150.9012,http://www.geonames.org/2152671/port-kembla.html,https://www.wikidata.org/wiki/Q1438297,
Pyrmont (N.S.W.),,, -33.86985,151.19402,http://www.geonames.org/2152339/pyrmont.html,https://www.wikidata.org/wiki/Q2916104,
"Pyrmont Bridge (Sydney, N.S.W.)",,, -33.87066,151.20081,http://www.geonames.org/8645190/pyrmont-bridge.html,https://www.wikidata.org/wiki/Q7263617,
"Queen Victoria Building (Sydney, N.S.W.)",,FL4587953,-33.8718,151.207,https://www.geonames.org/6949415/queen-victoria-building.html,https://www.wikidata.org/wiki/Q54518,
Redfern (N.S.W.),,"FL4574749 | FL4364163 | FL4586834 | FL4502582 | FL4364313 | FL4507432 | FL4503834 | FL4422925 | FL4532144 | FL4506073
| FL4571693 | FL468008 | FL4437780 | FL4545874 | FL4421392 | FL4421534 | FL4529015 | FL4441404 | FL4476085 | FL4371429 | FL4417070 | FL4547832 | FL4444883 | FL4581793 | FL4585121 | FL4524268 | FL4484392 | FL4556514 |",-33.89279,151.20415,https://www.geonames.org/2151932/redfern.html,https://www.wikidata.org/wiki/Q1026829,
"Redfern Oval (Elizabeth Street, Redfern, N.S.W.)",,FL4422925 | FL4532144 | FL4571693 ,-33.8953,151.2061,https://www.geonames.org/maps/wikipedia_-33.8953_151.2061.html,https://www.wikidata.org/wiki/Q14934985,
"Redfern Railway Station (Redfern, N.S.W.)",Bahnhof Redfern,FL4441404 | FL4586834 | FL4524268,-33.892,151.199,https://www.geonames.org/6949371/bahnhof-redfern.html,https://www.wikidata.org/wiki/Q7305835,
Richmond (N.S.W.),,FL4473001 | FL4475305 | FL4482482,-33.59956,150.75142,https://www.geonames.org/2151650/richmond.html,https://www.wikidata.org/wiki/Q1184885,
Rockdale Town Hall (N.S.W.),,FL4530763 | FL4526383 | FL4530708,-33.9533,151.14,https://www.geonames.org/maps/wikipedia_-33.9533_151.14.html,https://www.wikidata.org/wiki/Q7355027,
"Rocks, The (Sydney, N.S.W.)",,FL4474318 | FL654333 | FL4587369 | FL4587369 | FL4569265 ,-33.85923,151.2081,https://www.geonames.org/2146874/the-rocks.html,https://www.wikidata.org/wiki/Q14210737,
Roselands Shopping Centre (N.S.W.),,FL4567576 | FL4563555 | FL4518789,-33.935,151.0689,https://www.geonames.org/maps/wikipedia_-33.935_151.0689.html,https://www.wikidata.org/wiki/Q5062867,
"Royal Hyde Park Hotel (Elizabeth Street, Sydney, N.S.W.)",Hyde Park Inn,FL4585233,-33.8676,151.2096,https://www.geonames.org/6512030/hyde-park-inn.html,N.A,
"Rushcutter Bowl (Bayswater Road, Rushcutters Bay, N.S.W.)",Rushcutters Bay Park,FL4512030,-33.87545,151.23107,https://www.geonames.org/8159328/rushcutters-bay-park.html,https://www.wikidata.org/wiki/Q21935045,
Rushcutters Bay (N.S.W.),,,,,,,
Silverwater Prison,,,,,,,
South Australia,,,,,,,
South Bondi (N.S.W.),,,33.8920° S,151.2610° E,,,
"St. James Station (Sydney, N.S.W.)",,,,,,,
"St. Paul's College (University of Sydney, N.S.W.)",,,,,,,
"State Dockyard (Dyke End, Newcastle, N.S.W.)",,,,,,,
"State Office Block (Bent Street, Sydney, N.S.W.)",,,,,,,
"Surf House (62 Buckingham Street, Surry Hills, N.S.W.)",,,,,,,
Surry Hills (N.S.W.),,,,,,,
"Sussex Street (Sydney, N.S.W.)",,FL4521207 | FL4521209 | FL4521219 | FL4521220 | FL4521222 | FL4521227 | FL4521229 | FL4521230 | FL4521232 | FL4521234 | FL4521235 | FL4521239 | FL4521240 | FL4521241 | FL4521243 | FL4521245 | FL4521247 | FL4521249,-33.87949,151.20528,http://www.geonames.org/8645351/sussex-street.html,https://www.wikidata.org/wiki/Q7649491,
"Swanston Street (Melbourne, Vic.)",,FL4589159 | FL4589161 | FL4589164 | FL4589169 | FL4589170 | FL4589172 | FL4589173 | FL4589174 | FL4589175 | FL4589176 | FL4589178 | FL4589181 | FL4589183 | FL4589184 | FL4589187 | FL4589188,-37.805887,144.963104,,https://www.wikidata.org/wiki/Q1087653,
Sydney (N.S.W.),,,-33.86785,151.20732,http://www.geonames.org/2147714/sydney.html,https://www.wikidata.org/wiki/Q3130,
"Sydney Cricket Ground (Sydney, N.S.W.)",,FL4516711 | FL4516712 | FL4516713 | FL4516714 | FL4516715 | FL4516716 | FL4516717 | FL4516718 | FL4516719 | FL4516720 | FL4516721 | FL4516722 | ,-33.89151,151.22518,http://www.geonames.org/6255144/sydney-cricket-ground.html,https://www.wikidata.org/wiki/Q856393,
Sydney Harbour (N.S.W.),,FL4458427 | FL4458428 | FL4458429 | FL4458433 | FL4458434 | FL4458435 | FL4458436 | FL4458437 | FL4458438 | FL4458439 | FL4458440 | FL4458441 | FL4458442 | FL4458443 | FL4458444 | FL4488353 | FL4488355 | FL4488356 | FL4488358 | FL4488360 | FL4488361 | FL4524187 | FL4524188 | FL4524189 | FL4524190 | FL4524191 | FL4524192 | FL4524193 | FL4524194 | FL4524195 | FL4524196 | FL4524197 | FL4524198 | FL4524199 | FL4524200 | FL4524201 | FL4524202 | FL4524203 | FL4524204 | FL4524205 | FL4524206 | FL4524207 | FL4539207 | FL4539222 | FL4539224 | FL4539225 | FL4539226 | FL4539228 | FL4539229 | FL4539232 | FL4539234 | FL4539236 | FL4539240 | FL4539254 | FL4539255 | FL4539257 | FL4539258 | FL4539260 | FL4539262 | FL4539264 | FL4539265,-33.86667,151.25,http://www.geonames.org/2147710/sydney-harbour.html,https://www.wikidata.org/wiki/Q54504,
"Sydney Harbour Bridge (Sydney, N.S.W.)",,FL4538682 | FL4538683 | FL4538685 | FL4538686 | FL4538687 | FL4538689 | FL4538691 | FL4538694 | FL4538696 | FL4538698 | FL4538701 | FL4524752 | FL4524756 | FL4524757 | FL4524758 | FL4524759 | FL4524760 | FL4522429 | FL4522431 | FL4522433 | FL4522435 | FL4522436 | FL4522439 | FL4522441 | FL4522442,-33.85249,151.21046,http://www.geonames.org/2208291/sydney-harbour-bridge.html,https://www.wikidata.org/wiki/Q54495,
"Sydney Hospital (Macquarie Street, Sydney, N.S.W.)",,FL4538280 | FL4538281 | FL4538282 | FL4538283 | FL4538284 | FL4538285 | FL4538286 | FL4538287 | FL4538288,-33.86823,151.21274,http://www.geonames.org/8645151/sydney-hospital.html,https://www.wikidata.org/wiki/Q2373707,
Sydney Metropolitan Area (N.S.W.),,,,,,,
Sydney Opera House (N.S.W.),,FL4538292 | FL4538293 | FL4538294 | FL4538295 | FL4538296 | FL4538297 | FL4538298 | FL4538299 | FL4538300 | FL4538301 | FL4579445 | FL4579449 | FL4579453 | FL4579455 | FL4579457 | FL4579458 | FL4579459 | FL4579460 | FL4579463 | FL4579467 | FL4579469 | FL4579474 | FL4579476 | FL4579478 | FL4579482 | FL4581239 | FL4581241 | FL4581244 | FL4581247 | FL4581248 | FL4581249 | FL4581250 | FL4581251 | FL4581253 | FL4581254 | FL4581255 | FL4581258 | FL4581260 | FL4581262 | FL4581264 | FL4581265 | FL4581268 | FL4581270 | FL4581272 | FL4581274 | FL4581276 | FL4581279 | FL4581280 | FL4581282 | FL4581283 | FL4581284 | FL4581286 | FL4581288 | FL4581291 | FL4581295 | FL4581297 | FL4581298 | FL4581300 | FL4581302 | FL4581303 | FL4581306 | FL4538981 | FL4538983 | FL4538987 | FL4428486 | FL4428487 | FL4428488 | FL4428490 | FL4428493 | FL4428494 | FL4428495 | FL4428496 | FL4428497 | FL4428498 | FL4428500 | FL4428501 | FL4428501 | FL4428504 | FL4428505 | FL4428507 | FL4428511 | FL4428512 | FL4428513 | FL4428514 | FL4428515 | FL4428516 | FL4428517 | FL4492136 | FL4492138 | FL4492140 | FL4492141 | FL4492142 | FL4469463 | FL4469464 | FL4469465 | FL4469466 | FL4469467 | FL4469475 | FL4469476 | FL4503718 | FL4503719 | FL4503720 | FL4503721 | FL4503722 | FL4503724 | FL4503726 | FL4503727 | FL4503730 | FL4503736 | FL4503739 | FL4503741 | FL4503742 | FL4503744 | FL4503746 | FL4503749,-33.85677,151.21498,http://www.geonames.org/8645188/sydney-opera-house.html,https://www.wikidata.org/wiki/Q45178,
Sydney Showground (N.S.W.),,FL4480024 | FL4480026 | FL4480027 | FL4480028 | FL4480029 | FL4480030 | FL4480031 | FL4480032 | FL4480033 | FL4480034 | FL4480035 | FL4480036,-33.8446,151.0679,http://www.geonames.org/8162263/sydney-showground.html,https://www.wikidata.org/wiki/Q2827149,
"Sydney Stadium (Rushcutters Bay, N.S.W.)",,FL3397153 | FL1326430 | FL3341583 ,-33.87291° S,151.23187° E,http://www.geonames.org/8348191/rushcutters-bay.html,https://www.wikidata.org/wiki/Q2919661,
Sydney Stock Exchange,,FL1795109 | FL3400127 | FL3368372,-33.86432,151.20838,http://www.geonames.org/8645096/sydney-stock-exchange.html,https://www.wikidata.org/wiki/Q732670,
"Sydney Town Hall (Sydney, N.S.W.)",,FL1228226 | FL2444684 | FL1228096 | FL2107605 | FL2062304 | FL2134146 ,-33.8732,151.206,http://www.geonames.org/6949416/sydney-town-hall.html,https://www.wikidata.org/wiki/Q1192985,
"Teachers' Federation Building (166 Phillip Street, Sydney, N.S.W.)",,FL1309289 | FL1395117 | FL1326603 | FL1419540 | FL1318236 | FL1416628 ,-33.86924,151.21115,http://www.geonames.org/8645154/phillip-street.html,https://www.wikidata.org/wiki/Q7185822,
"Trades Hall (Goulburn Street, Sydney, N.S.W.)",,FL1279069 | FL1290631 | FL1279479 | FL1273635 | FL1412165,-33.8775,151.20378,http://www.geonames.org/8645184/goulburn-street.html,https://www.wikidata.org/wiki/Q5588249,
"Trocadero (George Street, Sydney, N.S.W.)",,FL3129192 | FL3129703 | FL3421921 | FL1282093,-33.8661,151.20728,http://www.geonames.org/6955368/george-street.html,https://www.wikidata.org/wiki/Q3760653,
"United States Consulate-General (7 Wynyard Street, Sydney, N.S.W.)",,FL4525377 | FL4521745 | FL475693 | FL3333576 | FL3387287,,,not available at time,not available at time,
University of New South Wales,,FL2182174 | FL928134 | FL878340 | FL927534 ,-33.9235,151.2262,http://www.geonames.org/8176220/the-university-of-new-south-wales.html,https://www.wikidata.org/wiki/Q734764,
University of New South Wales. Roundhouse,,FL1052101 | FL1035539 | FL1110014 | FL1104135 | FL1015241 | FL1080233 ,-33.9235,151.2262,http://www.geonames.org/8176220/the-university-of-new-south-wales.html,https://www.wikidata.org/wiki/Q734764,
University of Sydney (N.S.W.),,FL1232114 | FL1230025 | FL1913389 | FL1889512 | FL2134932,-33.88853,151.18791,http://www.geonames.org/8176221/the-university-of-sydney.html,https://www.wikidata.org/wiki/Q487556,
University of Sydney Library (N.S.W.),,,-33.8867,151.1903,http://www.geonames.org/maps/wikipedia_-33.8867_151.1903.html,https://www.wikidata.org/wiki/Q367840,
Vanuatu,,FL4409112 | FL4409113 | FL4409114 | FL4409115 | FL4409116 | FL4409117 | FL4409118 | FL4409119 | FL4409120 | FL4409121 | FL4409122,-16,167,http://www.geonames.org/2134431/republic-of-vanuatu.html,https://www.wikidata.org/wiki/Q686,
"Victoria Barracks (Paddington, N.S.W.)",,,,,,,
"Victoria Park (Sydney, N.S.W.)",,,,,,,
"Victoria Street (Sydney, N.S.W.)",,FL4510930 | FL4510934 | FL4510935 | FL4510936 | FL4510937 | FL4510938 | FL4510939 | FL4510940 | FL4510941 | FL4510942 | FL4510943 | FL4510944 | FL4510945,-33.89995,151.25028,http://www.geonames.org/8665500/victoria-street.html,https://www.wikidata.org/wiki/Q7927063,
Walgett (N.S.W.),,FL4517347 | FL4517348 | FL4517354 | FL4517356 | FL4517357 | FL4517359 | FL4517361 | FL4517362 | FL4517363 | FL4517366 | FL4517370 | FL4517371 | FL4517373 | FL4517377 | FL4517380 | FL4517382 | FL4517383 | FL4517385 | FL4517388 | FL4517389,-30.02461,148.11566,http://www.geonames.org/2145049/walgett.html,https://www.wikidata.org/wiki/Q458299,
Walgett Region (N.S.W.),,,,,,,
Wallace Theatre,,,,,,,
Walsh Bay (N.S.W.),,FL4530708 | FL4530709 | FL4530710 | FL4530711 | FL4530712 | FL4530713 | FL4530714 | FL4530715 | FL4530716 | FL4530717 | FL4530718 | FL4530719 | FL4530720 | FL4530721 | FL4530722 | FL4530723 | FL4530724 | FL4530725 | FL4530726 | FL4530727 | FL4530728 | FL4530729 | FL4530730 | FL4530731 | FL4530732 | FL4530733 | FL4530734 | FL4530735 | FL4530736 | FL4530737 | FL4530738 | FL4530739 | FL4530740,-33.8485,151.2012,http://www.geonames.org/8538845/walsh-bay.html,https://www.wikidata.org/wiki/Q21898481,
"War Memorial (Hyde Park, Sydney, N.S.W.)",,,,,,,
Warringah Expressway,Warringah Freeway,,-33.8337924,151.2095631,,https://www.wikidata.org/wiki/Q2549822,
Waterloo (N.S.W.),,,-33.91667,151.2,http://www.geonames.org/2144434/waterloo.html,https://www.wikidata.org/wiki/Q257618,
"Waterside Workers' Federation of Australia Building (66 Sussex Street, Sydney, N.S.W.)",,,-33.8660367,151.2016748,,,
"Watsons Bay Hotel (Watsons Bay, N.S.W.)",Watson Bay Boutique Hotel,,-33.8431192,151.2807076,,,
Wauchope Region (N.S.W.),,,-31.4579,152.7262,http://www.geonames.org/maps/wikipedia_-31.4579_152.7262.html,https://www.wikidata.org/wiki/Q2104626,
"Waverley Bus Depot (Oxford Street, Bondi Junction, N.S.W.)",,,-33.890678,151.242436,http://www.geonames.org/maps/browse_-33.890678_151.242436.html,https://www.wikidata.org/wiki/Q16927534,
"Waverley Cemetery (Waverley, N.S.W.)",,,-33.90899,151.26678,http://www.geonames.org/7701616/waverley-cemetery.html,https://www.wikidata.org/wiki/Q2972578,
Waverley Park,,,-33.89468,151.25791,http://www.geonames.org/8161849/waverley-park.html,https://www.wikidata.org/wiki/Q21935664,
Wee Waa (N.S.W.),,,-30.2266,149.44041,http://www.geonames.org/2144220/wee-waa.html,https://www.wikidata.org/wiki/Q990497,
"Wentworth Park (Sydney, N.S.W.)",,,-33.5237,-151.1134,http://www.geonames.org/8161872/wentworth-park.html,https://www.wikidata.org/wiki/Q21935990,
"Wharf no. 11 (Walsh Bay, N.S.W.)",,,,,,,
White Bay (N.S.W.),,,,,,,
"White City (Rushcutters Bay, N.S.W.)",,,33.8743° S,151.2285° E,,,
Wollongong (N.S.W.),,,,,,,
"Woods Lane (East Sydney, N.S.W.)",,,,,,,
Woolloomooloo (N.S.W.),,,S 33° 52' 13'' ,E 151° 13' 10'',,,
"Wynyard Park (Sydney, N.S.W.)",,,,,,,
"Ye Olde Crusty Taverne (255 George Street, Sydney, N.S.W.)",,,,,,,
"York Street (Sydney, N.S.W.)",,,,,,,