name,count
"Murphy, Peter",23
Waterside Workers' Federation of Australia,17
Tribune (Newspaper),16
Building Workers' Industrial Union of Australia.,14
University of Sydney,14
"McIntosh, Carlotta",14
Communist Party of Australia,13
Union of Australian Women,12
"New Theatre (Sydney, N.S.W.)",12
Australian Builders' Labourers' Federation,12
"Aarons, Laurie, 1917-2005",9
"Townsend, Simon",9
"Salmon, Malcolm, 1925-1986",8
Australian Labor Party,8
"Whitlam, Gough, 1916-2014",8
"Aboriginal Tent Embassy (Canberra, A.C.T.)",7
Australian Journalists' Association,7
"Mundey, Judith Ann, 1944-",7
Australian Council of Trade Unions,7
N.S.W. Teachers' Federation,7
Sydney Town Hall,7
Boilermakers' and Blacksmiths' Society of Australia,6
Liberal Party of Australia.,6
"Gould, Bob, 1937-",6
"Long, Stephen",6
May Day,5
"Evans, Michael",5
Sydney Opera House,5
"Anderson, Michael",5
Save Our Sons Movement,5
"Holt, Harold, 1908-1967",5
"Cairns, Jim, 1914-2003",5
"Wheelwright, E. L. (Edward Lawrence)",5
"Hawke, Bob, 1929-",4
"Dixon, Chicka (Charles), 1928-2010",4
Eureka Youth League (Australia),4
"Clancy, Pat, 1919-1987",4
"Calwell, Arthur A. (Arthur Augustus), 1896-1973",4
Jim Endersby,4
Master Builders' Association of N.S.W.,4
"Murphy, Lionel, 1922-1986",3
"Yevtushenko, Yevgeny Aleksandrovich, 1933-",3
"Ross, Lloyd (Lloyd Maxwell), 1901-1987",3
Great Moscow Circus,3
Qantas Airways,3
"Greenland, Hall",3
"Sharkey, L. L. (Lawrence Louis), 1898-1967",3
Federal Council for the Advancement of Aborigines and Torres Strait Islanders,3
Gurindji (Australian people).,3
"Hall, Harry, 1924-2013",3
"Ducker, John",3
General Motors-Holden's Limited.,3
"Uren, Tom",3
"Carmichael, Laurie",3
Building Workers Industrial Union,3
"McGuinness, Sandra",3
"Watt, Alf",3
Transport Workers' Union of Australia,3
Transport Workers Union of Australia. New South Wales Branch,3
Metal Trades Federation of Unions (Australia),3
"Johnson, Lyndon Baines, 1908-1973.",3
Student Action for Aborigines (N.S.W.),3
"Milliss, Roger, 1934-",2
"James, Francis, 1918-1992",2
International Women's Day,2
"McLean, D.",2
"Higham, Louise",2
"Ky, Prime Minister",2
Honeywell Ltd.,2
"Kevans, Denis, 1939-2005",2
"Mason, Gerry",2
Miners' Federation,2
"Jensen, Henry Frederick, 1913-",2
"Menzies, Robert, Sir, 1894-1978",2
Jeparit (cargo ship),2
"Mundey, Jack, 1932-",2
Youth Campaign Against Conscription.,2
"Gilling, Bridget",2
"George, Paddy",2
"Aarons, Brian, 1945-",2
"Aarons, Eric",2
Amalgamated Engineering Union.,2
Amalgamated Metal Workers' Union (Australia),2
Amalgamated Postal Workers' Union,2
Ansett Airlines of Australia,2
Australian Broadcasting Corporation,2
Australian Iron and Steel,2
Australian Labor Party. Kings Cross Branch,2
"Berry, John",2
Boilermakers' and Blacksmiths' Society of Australia. Sydney Branch,2
"Bridges, Harry, 1901-",2
"Briscoe, Gordon, 1938-",2
"Brown, Peter",2
"Cahill, J J (Mrs)",2
"Cluff, Flo, 1902-1990",2
Clyde Engineering Co. Ltd.,2
Commonwealth Engineering Co.,2
"Counihan, Noel, 1913-1986",2
"Craigie, Billy",2
"Durbridge, Robert Stuart, 1946-2014",2
"Elphinston, Alex, 1913-1994",2
"Fields, Ted, 1933-2006",2
"Fraser, Malcolm, 1930-",2
"Freney, Denis",2
Dee Why Surf Life Saving Club (N.S.W.),2
"Leon, Charles (Lester), 1900-1982",2
"Roberts, Frank, 1918-1992",2
"Sykes, Roberta B., 1943-2010",2
"Rubbo, Sydney D.",2
"Royal Prince Alfred Hospital (Sydney, N.S.W.)",2
Printing and Kindred Industries Union,2
"Ross, Edgar, 1904-2001",2
"Stein, Harry",2
"Regent Theatre (Sydney, N.S.W.)",2
"Women's Liberation (Sydney, N.S.W.)",2
"Watson, Sam, 1952-",2
Seamen's Union of Australia,2
National Socialist Party of Australia,2
"Robertson, Alec, 1918-1974",2
"Reeves, Sue",2
New South Wales. Parliament,2
"Paterson, Fred, 1897-1977",2
"Tivoli Theatre (Sydney, N.S.W.)",2
"Sydney Harbour Bridge (Sydney, N.S.W.)",2
"Neos kosmos (Melbourne, Vic.)",2
"Perkins, Charles, 1936-2000",2
Sydney Hospital,1
Committee Against Atomic Testing (N.S.W.),1
National Aborigines' Day (1965),1
Colgate-Palmolive Pty. Ltd.,1
Sydney Steel Co. Ltd.,1
Sydney Technical College,1
"Coorey, Anthony Morris, 1925-1981",1
"Sydney Trade Fair, (3rd : 1965 : Sydney, N.S.W.)",1
"Cawley, Evonne, 1951-",1
Sydney Wharf Labourers' Union,1
"Thornton, Ernie",1
"Cain, Jacqueline",1
"Butterworth, John",1
"Clark, Manning, 1915-1991",1
"Cranbrook School (Bellevue Hill, N.S.W.)",1
Cornwall (Ship),1
"Stolle, Fred",1
"Sinclair, Ian McCahon, 1929-",1
"Smith, Ronald",1
"Elliott, Eliot Valens, 1902-1984",1
"Elizabeth II, Queen of Great Britain, 1926-",1
Electrical Trades Union (NSW Branch),1
"Smith, Shirley Coleen, 1924-1998",1
"Dunphy, Milo",1
"Dunnett, Brian, 1943-",1
"Sobers, Garry, 1936-",1
"Dougherty, Chris",1
"Dixon, R. (Reginald)",1
"Dixon, Dean",1
St. George Dragons (Rugby team),1
"Stanley, Alexander, 1895-1968",1
"Daly, Fred, 1913-1995",1
"Cuthbert, Betty, 1938-",1
"Curthoys, Ann, 1945-",1
"Bush, Jennifer, 1942-",1
Tooth & Co.,1
"Burns, Philp & Company",1
"Wakelin, Roland, 1887-1971",1
"Waratah Spring Festival (1967 : Sydney, N.S.W.)",1
Waterside Workers' Federation of Australia. Sydney Branch,1
Australian Builders' Labourers' Federation. New South Wales Branch,1
"Wentworth, W. C. (William Charles), 1907-2003.",1
Australian Ballet,1
"Ashe, Arthur, 1943-",1
Anzac Day,1
"White, Bill",1
"White, William Phillip Orrick",1
Ampol Petroleum Limited,1
"Whitlam, Edward Gough",1
"Williams, Bert",1
Amalgamated Engineering Union. Australian Section.,1
Air-India,1
Air New Zealand,1
"Affley, Declan, 1939-1985",1
Actors and Announcers Equity Association of Australia,1
"Wood, Bill, 1911-1976",1
Woolworths Ltd.,1
"Wran, Neville, 1926-2014",1
"Wyner, Issy",1
"Walker, Alan, 1911-2003",1
Vietnam Moratorium Campaign (Australia),1
"Burchett, Wilfred, 1911-1983",1
"Australian Labor Party. New South Wales Branch. Conference. (1965 : Sydney, N.S.W.)",1
Tooheys Ltd.,1
"Fairbairn, Geoffrey (Geoffrey Forrester), 1924-1980",1
Trans Australia Airlines,1
"Brown, Billy",1
Broken Hill Proprietary Company,1
Tricolor (ship),1
"Briggs, Geraldine, 1910-2005",1
United Nations.,1
"Bradford, Colin",1
"Boyd, David",1
Boonaroo (cargo ship),1
"United States. Consulate (Sydney, N.S.W.)",1
"Utzon, Jorn, 1918-2008",1
"Blackshield, A. R. (Anthony Roland), 1937-",1
"Binge, Stanley",1
Victor Schoelcher (French warship),1
"Bennett, J. M.",1
"Beazley, Kim C. (Kim Christian), 1948-",1
"Bandler, Faith, 1918-2015",1
"Bacon, Wendy.",1
Australian Workers Union. New South Wales Branch,1
Sheet Metal Workers Union of Australia,1
Ford Motor Company of Australia,1
"Shearston, Gary, 1939-2013",1
"McCrae, Nita",1
Mayne Nickless Ltd.,1
"Mayers, Naomi, 1941-",1
Pan Am,1
"Matteson, Michael",1
"Peckham, Ray",1
Marrickville Margarine Ltd.,1
"Marks, Jack",1
Maritime Services Board of New South Wales,1
"Mandela, Nelson, 1918-",1
Malaita (ship),1
"Mackie, Pat, 1914-2009",1
"Mackay, Norm",1
"Lockwood, Rupert, 1908-1997",1
Peters Ice Cream Ltd.,1
"Lewis, Jeannie.",1
"Leppik, Raymond",1
Young Socialists,1
"Lenin, Vladimir Ilich, 1870-1924.",1
Labor Council of New South Wales,1
"Maza, Bob.",1
"Paine, Thomas, 1737-1809",1
Federated Ironworkers' Association of Australia,1
"Outhred, Alan",1
New South Wales Nurses' Association,1
"Munro, Matt, 1906-1980",1
"Munro, Julie",1
"Newfong, John, 1943-1999",1
"Moyes, John Stoward, 1884-1972",1
"Moyes, Bishop",1
"Morris, Bruce",1
Moresby (naval survey vessel),1
"Morcom, Elfrida",1
"Nixon, Richard M. (Richard Milhous), 1913-1994",1
"Noffs, Ted, 1926-1995",1
"Miles, John Bramwell",1
"O'Brien, Michael, 1900â€“1967",1
"Ormonde, James Patrick, 1905-",1
Meals On Wheels,1
"McPhillips, L. J.",1
"McMahon, William, 1908-1988",1
"McLean, Jean",1
Osipov (orchestra),1
"Petty, Bruce, 1929-",1
"Philip, Prince, consort of Elizabeth II, Queen of Great Britain, 1921-",1
"Kelly, J. H. (John Henry), 1895-1983",1
"Jones, Michael",1
"Haddrick, Ron",1
"Rose, Frederick G. G. (Frederick George Godfrey), 1915-1991",1
"Royal Easter Show (1967 : Sydney, N.S.W.)",1
"Gorham, Kathleen, 1932-1983",1
"Goldbloom, Sam",1
"Gifford, Charlie",1
"Gibson, Ralph, 1906-",1
"General Post Office (Sydney, N.S.W.)",1
"Saragat, Giuseppe",1
"Garrett, Peter, 1953-",1
"Gandhi, Indira, 1917-1984",1
"Gallagher, Bob",1
"Funde, Eddie",1
"Scots College (Bellevue Hill, N.S.W.)",1
"Franco, Francisco, 1892-1975",1
"Foley, Gary",1
"Fitzgibbon, Charlie, 1922-2001",1
"Searle, Betty",1
Federated Miscellaneous Workers' Union of Australia,1
"Hammond, Heather",1
"Hampson, Miriam",1
"Hardy, Frank (Francis Joseph), 1917-1994",1
"Hughes, T. E. F. (Thomas Eyre Forrest), 1923-",1
"Johnston, Elliott, 1918-2011",1
"Prasad, Nancy",1
"Johnson, Les",1
"Pringle, Robert Arthur, 1922-1996",1
Proclaim (ferry),1
Jeanne d'Arc (French warship),1
Ray Brown and the Whispers (musical group),1
Irish National Association of Australasia,1
"Regan, Lyn",1
"Roach, Edward Charles, 1909-1997",1
"Hobson, Albert",1
"Ho Chi Minh, 1890-1969",1
"Rigby, William Matthew, 1923-2003",1
"Heffernan, Jack, 1916-",1
"Healy, Patricia",1
"Healy, Jim, 1898-1961",1
"Hazard, Noel",1
"Haylen, Leslie",1
"2UW (Radio station : Sydney, N.S.W.)",1
